match_set,score_set,brand_set
CABRA DEL CAMP,100,CABRA
DIPUTACIÓN PROV. DE VALENCIA,96,DIPUTACIÓN PROV. DE PALENCIA
AIGUAVIVA,94,AGUAVIVA
CAMBRILS,93,CABRILS
CONSELL COMARCAL DE GARROTXA,93,CONSELL COMARCAL DE GARRAF
COMARCA RIBERA BAJA DEL EBRO,93,COMARCA RIBERA ALTA DEL EBRO
CONSELL COMARCAL DE BAIX PENEDÈS,93,CONSELL COMARCAL DE ALT PENEDÈS
BUNYOLA,93,BRUNYOLA
HERRERÍAS,93,HERRERA
CONSELL COMARCAL DE BAIX EMPORDÀ,93,CONSELL COMARCAL DE ALT EMPORDÀ
CABRANES,93,CABANES
CONSELL COMARCAL DEL VALLÈS ORIENTAL,93,CONSELL COMARCAL DE VALLÈS OCCIDENTAL
BENISSANÓ,93,BENISSA
ALFAFARA,93,ALFAFAR
PALMERA,92,ALMERÍA
CONSELL COMARCAL DE SOLSONÈS,92,CONSELL COMARCAL DE OSONA
TORTELLÀ,92,TORELLÓ
DIPUTACIÓN PROV. DE ZAMORA,92,DIPUTACIÓN PROV. DE ALMERÍA
DIPUTACIÓN PROV. DE SEVILLA,92,"DIPUTACIÓN PROV. DE SEGOVIA, DIPUTACIÓN PROV. DE AVILA"
DIPUTACIÓN PROV. DE SORIA,92,DIPUTACIÓN PROV. DE SEGOVIA
DIPUTACIÓN PROV. DE HUESCA,92,"DIPUTACIÓN PROV. DE HUELVA, DIPUTACIÓN PROV. DE CUENCA"
ENTIDAT MUNICIPAL DESCENTRALIZADA SUCHS,92,ENTIDAT MUNICIPAL DESCENTRALIZADA RAIMAT.
RODA DE TER,91,RODA DE BERÀ
CHELLA,91,CELLA
COBEÑA,91,COBEJA
DIPUTACIÓN PROV. DE LUGO,91,DIPUTACIÓN PROV. DE BURGOS
ÍLLORA,91,LLORAC
DIPUTACIÓN PROV. DE ZARAGOZA,91,DIPUTACIÓN PROV. DE TARRAGONA
CONSELL COMARCAL DE CONCA DE BARBERÀ,91,BARBERÀ DE LA CONCA
CONSEJO INSULAR DE MENORCA,91,CONSEJO INSULAR DE MALLORCA
CONSELL COMARCAL DE L'ALT CAMP,91,CONSELL COMARCAL DE BAIX CAMP
CONSELL COMARCAL DE BAIX PENEDÈS,91,CONSELL COMARCAL DE BAIX CAMP
CONSELL COMARCAL DE BAIX EMPORDÀ,91,CONSELL COMARCAL DE BAIX CAMP
"PEDROSO, EL",91,"PEDERNOSO, EL"
MANCOMUNIDAD INTERMUNICIPAL DE SERVICIOS SOCIALES DEL ESTE DE MADRID (MISSEM),91,"MANCOMUNIDAD INTERMUNICIPAL DE SERVICIOS SOCIALES ""LAS VEGAS"""
CARBONEROS,90,CARBONERAS
PUEBLA DE LA CALZADA,90,"PUEBLA DE CAZALLA, LA"
FUENSALIDA,90,FUENSALDAÑA
CONSORCIO PARA LA GESTIÓN DE RESIDUOS ZONA V5,90,CONSORCIO DEL SECTOR II DE LA PROVINCIA DE ALMERÍA PARA LA GESTIÓN DE RESIDUOS
DIPUTACIÓN PROV. DE ZAMORA,90,DIPUTACIÓN PROV. DE A CORUÑA
DIPUTACIÓN PROV. DE GRANADA,90,DIPUTACIÓN PROV. DE GIRONA
COMARCA DE BAJO MARTÍN,90,COMARCA DE BAJO ARAGÓN
MANCOMUNIDAD DE LA COMARCA DE PAMPLONA,90,"MANCOMUNIDAD ""COMARCA DE LA SIDRA"""
DIPUTACIÓN PROV. DE LEÓN,90,DIPUTACIÓN PROV. DE JAÉN
CANDELARIO,90,CANDELARIA
SÚRIA,89,SORIA
HERRERA DE PISUERGA,89,CERVERA DE PISUERGA
NAVIA,89,NAVA
ÍLLORA,89,ÁLORA
ÉPILA,89,"PILOÑA, PILAS"
MORAÑA,89,MOAÑA
SANTA MARÍA DEL CAMÍ,89,SANTA MARÍA DE CAYÓN
SILS,89,SILES
ÁLORA,89,LORCA
MONTFERRI,89,MONTERREI
MANCOMUNIDAD INTERMUNICIPAL DE SERVICIOS SOCIALES DEL ESTE DE MADRID (MISSEM),89,"MANCOMUNIDAD DE SERVICIOS DEL SUROESTE DE MADRID, MANCOMUNIDAD DE SERVICIOS SOCIALES MARIOLA"
SALAR,89,ALARÓ
VERA,89,VEDRA
ORBA,89,JORBA
RONDA,89,ONDA
JEREZ DE LOS CABALLEROS,89,EJEA DE LOS CABALLEROS
OTROS,89,OTOS
MANCOMUNIDAD DE SERVICIOS SOCIALES MARIOLA,89,"MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE ANSOßIN, BERRIOPLANO, BERRIOZAR, IZA Y JUSLAPE±A, MANCOMUNIDAD DE SERVICIOS SOCIALES DE SIERRA OESTE, MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE LA ZONA DE NOÁIN"
SANT FELIU DE LLOBREGAT,89,SANT BOI DE LLOBREGAT
SANT CLIMENT DE LLOBREGAT,89,SANT BOI DE LLOBREGAT
TOURO,89,TORO
VILLAMAÑÁN,89,"VILLAMARTÍN, VILLAMANTA"
PALENCIANA,89,PALENCIA
"MANCOMUNIDAD DE SERVICIOS SOCIALES Y MUJER ""LA MALICIOSA""",89,MANCOMUNIDAD DE SERVICIOS SOCIALES MARIOLA
MUROS,89,MURO
ÚBEDA,89,"BREDA, BEUDA"
BERGA,89,BERA
CAMÓS,89,CAMAS
AÑORA,89,AYORA
ARZÚA,89,ARIZA
BAZA,89,BAEZA
ARES,89,AGRES
DIPUTACIÓN PROV. DE JAÉN,89,"DIPUTACIÓN PROV. DE ALICANTE, DIPUTACIÓN PROV. DE BARCELONA, DIPUTACIÓN PROV. DE GIRONA, DIPUTACIÓN PROV. DE CASTELLÓN, DIPUTACIÓN PROV. DE HUESCA, DIPUTACIÓN PROV. DE CÓRDOBA, DIPUTACIÓN PROV. DE BADAJOZ, DIPUTACIÓN PROV. DE GRANADA, DIPUTACIÓN PROV. DE A CORUÑA, DIPUTACIÓN PROV. DE BURGOS, DIPUTACIÓN PROV. DE ALMERÍA, DIPUTACIÓN PROV. DE GUADALAJARA, DIPUTACIÓN PROV. DE CÁCERES, DIPUTACIÓN PROV. DE HUELVA, DIPUTACIÓN PROV. DE ALBACETE, DIPUTACIÓN PROV. DE CIUDAD REAL, DIPUTACIÓN PROV. DE CÁDIZ, DIPUTACIÓN PROV. DE AVILA, DIPUTACIÓN PROV. DE CUENCA"
DIPUTACIÓN PROV. DE LEÓN,89,"DIPUTACIÓN PROV. DE ALICANTE, DIPUTACIÓN PROV. DE BARCELONA, DIPUTACIÓN PROV. DE GIRONA, DIPUTACIÓN PROV. DE CASTELLÓN, DIPUTACIÓN PROV. DE CÓRDOBA, DIPUTACIÓN PROV. DE BADAJOZ, DIPUTACIÓN PROV. DE GRANADA, DIPUTACIÓN PROV. DE A CORUÑA, DIPUTACIÓN PROV. DE BURGOS, DIPUTACIÓN PROV. DE ALMERÍA, DIPUTACIÓN PROV. DE GUADALAJARA, DIPUTACIÓN PROV. DE CÁCERES, DIPUTACIÓN PROV. DE HUELVA, DIPUTACIÓN PROV. DE ALBACETE, DIPUTACIÓN PROV. DE CIUDAD REAL, DIPUTACIÓN PROV. DE CÁDIZ, DIPUTACIÓN PROV. DE AVILA, DIPUTACIÓN PROV. DE CUENCA"
BENISSANÓ,89,BENISSANET
DIPUTACIÓN PROV. DE MÁLAGA,89,DIPUTACIÓN PROV. DE LUGO
DIPUTACIÓN PROV. DE ZAMORA,89,DIPUTACIÓN PROV. DE SORIA
BERJA,89,BERA
CASPE,89,ASPE
BÉTERA,89,BERA
CONSELL COMARCAL DE GARRIGUES,89,CONSELL COMARCAL DE BAGES
CABANILLAS,89,ABANILLA
CONSELL COMARCAL DEL GIRONÈS,89,CONSELL COMARCAL  DEL MOIANÈS
"GRANADO, EL",89,"GRADO, EL"
GALAR,89,ALARÓ
GRIÑÓN,89,GRISÉN
COLMENAREJO,88,COLMENAR VIEJO
CONSELL COMARCAL DE MARESME,88,CONSELL COMARCAL DE BAGES
BERGONDO,88,ABEGONDO
MARCHENA,88,MARACENA
CONSELL COMARCAL DE BERGUEDÀ,88,CONSELL COMARCAL DE BAGES
CONSELL COMARCAL DE NOGUERA,88,CONSELL COMARCAL DE ANOIA
VILLANUEVA DE LA JARA,88,VILLANUEVA DE LA CAÑADA
BENISSODA,88,BENISSA
VILLANUEVA DEL REY,88,"VILLANUEVA DEL PARDILLO, VILLANUEVA DEL ARISCAL"
DIPUTACIÓN PROV. DE GIRONA,88,DIPUTACIÓN PROV. DE CÓRDOBA
GODELLETA,88,GODELLA
CANARIAS,88,CAMARIÑAS
CAUDETE,88,ALCAUDETE
DIPUTACIÓN PROV. DE TERUEL,88,DIPUTACIÓN PROV. DE CÁCERES
DIPUTACIÓN PROV. DE PALENCIA,88,DIPUTACIÓN PROV. DE LLEIDA
DIPUTACIÓN PROV. DE ALICANTE,88,DIPUTACIÓN PROV. DE ALBACETE
ALCÀSSER,88,ALBOCÀSSER
VILLANUEVA DEL TRABUCO,88,VILLANUEVA DEL REY
CONSELL COMARCAL DE SELVA,88,CONSELL COMARCAL DE OSONA
MONTBRIÓ DEL CAMP,88,MONT-ROIG DEL CAMP
VAL DE SAN VICENTE,88,"SAN VICENTE DE LA BARQUERA, SAN VICENTE DE ALCÁNTARA"
VALENCIA,88,PALENCIA
CARRIÓN DE LOS CÉSPEDES,88,CARRIÓN DE LOS CONDES
CABILDO INSULAR DE LA PALMA,88,CABILDO INSULAR DE LA GOMERA
CONSELL COMARCAL DEL SEGRIA,88,CONSELL COMARCAL DE SELVA
SANTA MARÍA DEL TIÉTAR,88,SANTA MARÍA DEL CAMÍ
DIPUTACIÓN PROV. DE LUGO,87,"DIPUTACIÓN PROV. DE ALICANTE, DIPUTACIÓN PROV. DE BARCELONA, DIPUTACIÓN PROV. DE CASTELLÓN, DIPUTACIÓN PROV. DE BADAJOZ, DIPUTACIÓN PROV. DE GUADALAJARA, DIPUTACIÓN PROV. DE CIUDAD REAL"
COMARCA DE BAJO CINCA/BAIX CINCA,87,COMARCA DE BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP
CONSELL COMARCAL DE BAIX PENEDÈS,87,CONSELL COMARCAL DE BAIX EMPORDÀ
CONSELL COMARCAL DEL GIRONÈS,87,CONSELL COMARCAL DE MONTSIÀ
CONSELL COMARCAL DE ALT PENEDÈS,87,CONSELL COMARCAL DE ALT EMPORDÀ
MANCOMUNIDAD INTERMUNICIPAL DEL ALTO PALANCIA,87,"MANCOMUNIDAD ""ALTO TAJO"""
SAN CRISTÓBAL DE LA POLANTERA,87,SAN CRISTÓBAL DE LA LAGUNA
DIPUTACIÓN PROV. DE CÁDIZ,87,DIPUTACIÓN PROV. DE CASTELLÓN
MORÓN DE LA FRONTERA,87,CONIL DE LA FRONTERA
CONSELL COMARCAL DE MONTSIÀ,87,CONSELL COMARCAL  DEL MOIANÈS
CONSELL COMARCAL DE GARROTXA,87,CONSELL COMARCAL DE ANOIA
CONSELL COMARCAL DE L'ALT CAMP,87,"CONSELL COMARCAL DE ALT PENEDÈS, CONSELL COMARCAL DE ALT EMPORDÀ"
CONSELL COMARCAL DE PRIORAT,87,CONSELL COMARCAL DE GARRAF
CONSELL COMARCAL DE CERDANYA,87,CONSELL COMARCAL DE ANOIA
VILLALUENGA DE LA VEGA,87,VILLALUENGA DE LA SAGRA
SAN ROMÁN DE LOS MONTES,87,SAN PABLO DE LOS MONTES
CONSELL COMARCAL DE SOLSONÈS,87,CONSELL COMARCAL DE MONTSIÀ
SANT PERE DE VILAMAJOR,87,SANT ANTONI DE VILAMAJOR
CONSELL COMARCAL DE TARRAGONÈS,87,CONSELL COMARCAL DE GARRAF
LORA DEL RÍO,87,CORIA DEL RÍO
ONDARROA,86,ONDARA
"NAVAS DE LA CONCEPCIÓN, LAS",86,"LÍNEA DE LA CONCEPCIÓN, LA"
ALMÁCHAR,86,ALMUÑÉCAR
OIA,86,NOIA
MAÑÓN,86,MARÍN
CONSELL COMARCAL DE OSONA,86,"CONSELL COMARCAL DE CONCA DE BARBERÀ, CONSELL COMARCAL DE GARROTXA, CONSELL COMARCAL DE MARESME, CONSELL COMARCAL DE CERDANYA, CONSELL COMARCAL DE BERGUEDÀ, CONSELL COMARCAL DE GARRIGUES, CONSELL COMARCAL DE NOGUERA"
CONSELL COMARCAL DE SELVA,86,"CONSELL COMARCAL DE RIPOLLÈS, CONSELL COMARCAL DE RIBERA D'EBRE, CONSELL COMARCAL DE PLA DE L'ESTANY, CONSELL COMARCAL DE MARESME, CONSELL COMARCAL DE PLA D'URGELL, CONSELL COMARCAL DE BERGUEDÀ, CONSELL COMARCAL DE PALLARS JUSSÃ "
MONTGAT,86,MONTGAI
