brand_sort,score_sort,match_sort
CONSELL COMARCAL DE MARESME,83,CONSELL COMARCAL DE MONTSIÀ
DIPUTACIÓN PROV. DE SEVILLA,83,DIPUTACIÓN PROV. DE VALLADOLID
TOTANA,83,TOTANÉS
CONSELL COMARCAL DE L'ALT CAMP,83,CONSELL COMARCAL DE TERRA ALTA
VIANA,83,VILLANÚA
LLERA,83,LLERENA
LLANERA,83,LLERA
DIPUTACIÓN PROV. DE TERUEL,83,DIPUTACIÓN PROV. DE TOLEDO
LILLO,83,LUCILLO
ALCÚDIA,83,ALDAIA
ARRÚBAL,83,CARRAL
VILANOVA DE LA BARCA,83,VILANOVA DEL CAMÍ
HUESCA,83,HUÉSCAR
HUELMA,83,HUELVA
ESTADO,83,SESTAO
ARONA,83,"CARDONA, CARMONA"
ALDAIA,83,SALDAÑA
CHELLA,83,CHELVA
DIPUTACIÓN PROV. DE BARCELONA,83,DIPUTACIÓN PROV. DE CASTELLÓN
CUNTIS,83,CURTIS
MUROS,83,MUSEROS
PALMA,83,PALMERA
CORERA,83,ORCERA
CONSEJO COMARCAL DE BAIX EBRE,83,"CONSELL COMARCAL DE BAIX EMPORDÀ, CONSELL COMARCAL DE BAIX PENEDÈS, CONSEJO COMARCAL DE BIERZO, EL"
PILAS,83,PIÉLAGOS
CARRAL,83,CATRAL
COLERA,83,"OLVERA, CORERA"
CHELVA,83,HUELVA
OLMEDO,83,TOLEDO
CONSELL COMARCAL DE ALT PENEDÈS,83,CONSELL COMARCAL DE TERRA ALTA
CULLERA,83,LLERA
CERDANYOLA DEL VALLÈS,83,LLES DE CERDANYA
DIPUTACIÓN PROV. DE BURGOS,83,DIPUTACIÓN PROV. DE CÁCERES
DIPUTACIÓN PROV. DE CUENCA,83,DIPUTACIÓN PROV. DE CÓRDOBA
DIPUTACIÓN PROV. DE CÁCERES,83,DIPUTACIÓN PROV. DE CÓRDOBA
PADERNE,83,PADRÓN
CELLA,83,CORELLA
SALAS,83,SALINAS
DIPUTACIÓN PROV. DE GRANADA,83,"DIPUTACIÓN PROV. DE MÁLAGA, DIPUTACIÓN PROV. DE LEÓN"
PALENCIA,82,PLASENCIA
VILLANUEVA DE DUERO,82,VILLANUEVA DE GÁLLEGO
VILLANUEVA DE ALGAIDAS,82,VILLANUEVA DE LA CAÑADA
VILLANUBLA,82,VILLANÚA
VILLANUEVA DE LA FUENTE,82,VILLANUEVA DE LOS INFANTES
GRANADA,82,"GRANADA, LA"
VILLABLANCA,82,VILLAFRANCA
MONTEHERMOSO,82,MONTERROSO
POLANCO,82,POZOBLANCO
VILALBA DELS ARCS,82,VILLALBA DE LOS BARROS
PEDRAJAS DE SAN ESTEBAN,82,SAN ESTEBAN DE LITERA
MANCOMUNIDAD DE SERVICIOS SOCIALES MARIOLA,82,MANCOMUNIDAD DE SERVICIOS SOCIALES MEJORADA-VELILLA
MORÓN DE LA FRONTERA,82,"PALOS DE LA FRONTERA, VEJER DE LA FRONTERA, OLIVA DE LA FRONTERA"
TARAZONA,82,TARRAGONA
MASSALFASSAR,82,MASSANASSA
MEDINA DEL CAMPO,82,MEJORADA DEL CAMPO
SERRADA,82,SERRADILLA
"RAMBLA, LA",82,"ROBLA, LA"
